IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
192.168.100.149,63519,192.168.100.6,80,6,7.0,140,1,0,0,2,2,0,0,0,0,0,0,140,140,0,140,140.0,0.0,0,0,0,0,1120000,0,0,1,0,0,0,512,0,0,0,0,0,0,0,1,DoS
192.168.100.147,60774,192.168.100.5,80,6,7.0,280,2,0,0,2,2,0,4294467,500,0,64,64,140,140,0,140,280.0,0.0,0,0,0,0,0,0,0,2,0,0,0,512,0,0,0,0,0,0,0,1,DoS
192.168.100.148,32534,192.168.100.5,80,6,7.0,280,2,0,0,2,2,0,4293780,1187,0,64,64,140,140,0,140,140140.0,0.0,0,0,0,0,1120000,0,0,2,0,0,0,512,0,0,0,0,0,0,0,1,DoS
192.168.100.147,52113,192.168.100.7,80,17,188.0,56,2,0,0,0,0,0,4294545,422,0,64,64,28,28,0,28,56.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.150,36780,192.168.100.6,80,17,188.0,56,2,0,0,0,0,0,4293732,1235,0,64,64,28,28,0,28,2828.0,0.0,0,0,0,0,224000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.148,61749,192.168.100.7,80,17,188.0,84,3,0,0,0,0,0,4293826,1141,0,64,64,28,28,0,28,2856.0,0.0,0,0,0,0,224000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.149,52669,192.168.100.5,80,6,7.0,280,2,0,0,2,2,0,4293295,1672,0,64,64,140,140,0,140,140140.0,0.0,0,0,0,0,1120000,0,0,2,0,0,0,512,0,0,0,0,0,0,0,1,DoS
192.168.100.149,59453,192.168.100.6,80,17,188.0,56,2,0,0,0,0,0,4294502,465,0,64,64,28,28,0,28,56.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS
192.168.100.148,33808,192.168.100.3,80,6,7.0,320,3,44,1,22,6,18,4293326,1641,0,64,64,140,40,40,140,180140.0,44.0,140,1,0,0,16000,352000,2,2,0,0,0,512,29200,35840,140,0,0,0,0,1,Reconnaissance
192.168.100.147,48217,192.168.100.7,80,6,7.0,420,3,0,0,2,2,0,4293389,1578,0,64,64,140,140,0,140,280140.0,0.0,140,1,0,0,0,0,0,3,0,0,0,512,0,35840,140,0,0,0,0,1,DoS
192.168.100.148,29148,192.168.100.3,80,17,188.0,56,2,0,0,0,0,0,4293656,1311,0,64,64,28,28,0,28,2828.0,0.0,0,0,0,0,224000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS
